Non Nutrient Data.Image URL,Non Nutrient Data.Original Name,Non Nutrient Data.Unit,Non Nutrient Data.Amount,Non Nutrient Data.Price per Unit,Non Nutrient Data.Weight per Unit (g),Non Nutrient Data.Price per 100g,Non Nutrient Data.Regulated Name,Non Nutrient Data.Regulated Name English,Non Nutrient Data.FDC Name,Non Nutrient Data.Food Category,Energy.Energy [KCAL],Macronutrient.Carbohydrate [G],Macronutrient.Fiber [G],Macronutrient.Protein [G],Macronutrient.Saturated Fat [G],Macronutrient.Total Fat [G],Micronutrient.Calcium [MG],Micronutrient.Choline [MG],Micronutrient.Copper [MG],Micronutrient.Folate [UG],Micronutrient.Iron [MG],Micronutrient.Magnesium [MG],Micronutrient.Manganese [MG],Micronutrient.Niacin [MG],Micronutrient.Omega 3 (ALA) [G],Micronutrient.Omega 6 [G],Micronutrient.Phosphorus [MG],Micronutrient.Potassium [MG],Micronutrient.Riboflavin [MG],Micronutrient.Selenium [UG],Micronutrient.Sodium [MG],Micronutrient.Thiamin [MG],Micronutrient.Vitamin A [UG],Micronutrient.Vitamin B-12 [UG],Micronutrient.Vitamin B-6 [MG],Micronutrient.Vitamin C [MG],Micronutrient.Vitamin E [MG],Micronutrient.Zinc [MG],Micronutrient.Omega 3 (EPA + DHA) [G],Micronutrient.Vitamin K [UG],Non Nutrient Data.Fullness Factor,Insulin Index,Insulin Index Food Name,Non Nutrient Data.Preparation Time
"https://img.rewe-static.de/1033906/23292477_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Cherry Romatomaten 250g,100g,2.5,0.44,100.0,0.44,"Tomaten, roh","Tomatoes, raw","Tomatoes, green, raw",Vegetables and Vegetable Products,27.0,5.1,1.1,1.2,0.028,0.2,13.0,8.6,0.09,9.0,0.51,10.0,0.1,0.5,0.0325,0.0,28.0,204.0,0.04,0.4,13.0,0.06,32.0,0.0,0.081,23.4,0.19,0.07,0.0,10.1,4.533946818394332,44,"Orange, raw, peeled","Tomaten, grün, roh"
"https://img.rewe-static.de/1930502/24568902_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Bio Banane ca. 200g,100g,2.0,0.2,100.0,0.2,"Banane, roh","Banana, raw","Bananas, raw",Fruits and Fruit Juices,98.69,22.84,2.6,1.09,0.112,0.33,5.0,9.8,0.078,20.0,0.26,27.0,0.27,0.665,0.0296666666666666,0.0,22.0,358.0,0.073,1.0,1.0,0.031,3.0,0.0,0.367,8.7,0.05,0.15,0.0,0.5,2.3578457461046867,59,"Banana, raw, peeled","Banane, roh"
"https://img.rewe-static.de/1043421/21454590_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",REWE Beste Wahl Romana Salatherzen 3...,Stück,3.0,0.66,300.0,0.22,"Salatherzen, roh","Romaine lettuce, raw","Lettuce, cos or romaine, raw",Vegetables and Vegetable Products,20.78,3.29,2.1,1.23,0.039,0.3,33.0,9.9,0.048,136.0,0.97,14.0,0.155,0.313,0.0403333333333333,0.0,30.0,247.0,0.067,0.4,8.0,0.072,436.0,0.0,0.074,4.0,0.065,0.23,0.0,102.5,4.540339490644333,4,"Avocado, raw, peeled","Salat, roh"
"https://img.rewe-static.de/0112056/25046123_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Alnavit Bio Buchweizenbrot...,100g,2.5,1.2,100.0,1.2,Buchweizenbrot,Buckwheat bread,Buckwheat,Cereal Grains and Pasta,369.6,71.5,10.0,13.25,0.741,3.4,18.0,0.0,1.1,30.0,2.2,231.0,1.3,7.02,0.634,0.0,347.0,460.0,0.425,8.3,1.0,0.101,0.0,0.0,0.21,0.0,0.0,2.4,0.0,0.0,2.561065058397397,40,Oatmeal,Buchweizen
"https://img.rewe-static.de/1316461/21287523_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",REWE Beste Wahl Limetten 4 Stück,Stück,4.0,0.32,75.0,0.4266666666666667,"Limetten, roh","Limes, raw","Limes, raw",Fruits and Fruit Juices,46.75999999999999,10.54,2.8,0.7,0.022,0.2,33.0,5.1,0.065,8.0,0.6,6.0,0.008,0.2,0.0,0.0,18.0,102.0,0.02,0.4,2.0,0.03,2.0,0.0,0.043,29.1,0.11,0.11,0.0,0.6,3.491881060907512,44,"Orange, raw, peeled","Limetten, roh"
"https://img.rewe-static.de/8556568/33246712_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",ja! Bagels mit Sesam 340g,100g,3.4,0.5,100.0,0.5,"Bagels, Sesam","Bagels, sesame","Bagels, wheat",Baked Products,250.13,48.89,4.1,10.2,0.0,1.53,20.0,9.8,0.175,76.0,2.76,51.0,1.43,3.37,0.0,0.0,142.0,165.0,0.209,28.7,439.0,0.403,0.0,0.0,0.147,0.0,0.16,1.1,0.0,1.5,2.0433143191532515,100,White Bread,Bagels
"https://img.rewe-static.de/8617573/33721574_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",ja! Sour Cream cremig mild 200g,100g,2.0,0.33,100.0,0.33,"Sour Cream, cremig mild","Sour cream, creamy mild","Sour cream, light",Dairy and Egg Products,137.79999999999998,7.1,0.0,3.5,6.6,10.6,141.0,19.2,0.016,11.0,0.07,10.0,0.0,0.07,0.0,0.0,71.0,212.0,0.12,3.1,83.0,0.04,90.0,0.21,0.02,0.9,0.15,0.5,0.0,0.5,2.109725703897672,52,"Cottage cheese, low-fat","Sauerrahm, fettarm"
"https://img.rewe-static.de/0422095/31362607_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Mini-Wassermelone 1 Stück,Stück,1.0,3.99,1500.0,0.266,"Wassermelone, roh","Watermelon, raw","Watermelon, raw",Fruits and Fruit Juices,33.99,7.55,0.4,0.61,0.016,0.15,7.0,4.1,0.042,3.0,0.24,10.0,0.038,0.178,0.0106666666666666,0.0,11.0,112.0,0.021,0.4,1.0,0.033,28.0,0.0,0.045,8.1,0.025,0.1,0.0,0.1,4.1809185953773325,84,Watermelon,"Wassermelone, roh"
"https://img.rewe-static.de/8886901/38596158_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",REWE Beste Wahl Basmati Reis 500g,100g,5.0,0.5,100.0,0.5,"Reis, gekocht","Rice, cooked","Wild rice, cooked",Cereal Grains and Pasta,104.38,21.34,1.8,3.99,0.049,0.34,3.0,10.2,0.121,26.0,0.6,32.0,0.282,1.287,0.209,0.0,82.0,101.0,0.087,0.8,3.0,0.052,0.0,0.0,0.135,0.0,0.12,1.34,0.0,0.5,2.431129255169666,62,Brown rice,"Wildreis, gekocht"
"https://img.rewe-static.de/2553050/24301221_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Ahama Couscous 500g,100g,5.0,0.38,100.0,0.38,Couscous,Couscous,"Couscous, cooked",Cereal Grains and Pasta,109.48,23.22,1.4,3.79,0.029,0.16,8.0,3.3,0.041,15.0,0.38,8.0,0.084,0.983,0.1475,0.0,22.0,58.0,0.027,27.5,5.0,0.063,0.0,0.0,0.051,0.0,0.065,0.26,0.0,0.1,2.366315890823403,84,Couscous,"Couscous, gekocht"
