Name,Price,Grammage,IsOffer,Category,Price (EUR/ Kg),net_carbs,sugar,fiber,saturated_fat,protein,energy,carbohydrates,sodium,calcium,monounsaturated_fat,vitamin_c,cholesterol,fat,iron,polyunsaturated_fat,potassium,vitamin_a,grams,trans_fat,energy (kcal),Search Result Name,Search Result Brand,vitamin_d,sugar_alcohols,added_sugars
Cherry Romatomaten 250g,"1,09 €","250g (1 kg = 4,36 €)",True,Angebote,4.36,2.8,0.0,0.0,0.0,0.8,"{'unit': 'calories', 'value': 15.0}",2.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,15.0,Cherry Romatomaten,Penny,,,
Kartoffeln Drillinge festkochend 1kg,"2,19 €",1kg,True,Angebote,2.19,15.0,0.0,1.2,0.0,1.9,"{'unit': 'calories', 'value': 73.0}",16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0,Kartoffeln festkochend,Kartoffeln,,,
Birne grün 1kg,"2,19 €",1kg,True,Angebote,2.19,49.6,0.0,11.2,0.0,2.0,"{'unit': 'calories', 'value': 208.0}",60.8,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.0,0.0,208.0,"Birne, Grün",Fresh Germany,,,
Hitschler Fruchtgummi Bunte Drachenzungen...,"0,99 €","125g (1 kg = 7,92 €)",True,Angebote,7.92,82.0,0.0,0.0,1.2,2.3,"{'unit': 'calories', 'value': 369.0}",82.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,1.0,0.0,369.0,Saurer Fruchtgummi,Hitschler Bunte Drachenzungen,,,
Meggle Kräuterbutter portioniert 5x20g,"1,69 €","5x20g (1 kg = 16,90 €)",True,Angebote,16.9,3.3,2.4,,40.0,1.2,"{'unit': 'calories', 'value': 578.0}",3.3,827.0,,,,,62.0,,,,,1.0,,578.0,Kräuterbutter,Meggle,,,
Meggle Klassik Baguette Kräuter-Butter 160g,"1,39 €","160g (1 kg = 8,69 €)",True,Angebote,8.69,38.0,2.6,,8.2,7.0,"{'unit': 'calories', 'value': 302.0}",38.0,1400.0,,,,,13.0,,,,,1.0,,302.0,Klassik Baguette (Kräuter-Butter),Meggle,,,
REWE Bio Original Nürnberger...,"2,99 €","160g (1 kg = 18,69 €)",True,Angebote,18.69,0.2,0.2,0.0,2.4,2.8,"{'unit': 'calories', 'value': 70.0}",0.2,186.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,57.0,0.0,1.0,0.0,70.0,Original Nürnberger Rostbratwürstchen,Bratwurst Nürnberger Rewe Bio,,,
REWE Bio Naturland Bergkäse 50% 200g,"2,49 €","200g (1 kg = 12,45 €)",True,Angebote,12.45,0.0,0.0,,26.0,28.0,"{'unit': 'calories', 'value': 418.0}",0.0,1600.0,,,,,34.0,,,,,1.0,,418.0,Bio Bergkäse,Naturland,,,
Bürger Vegane Maultaschen 300g,"1,89 €","300g (1 kg = 6,30 €)",True,Angebote,6.3,28.9,3.1,3.3,0.2,7.8,"{'unit': 'calories', 'value': 172.0}",32.199999999999996,480.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,1.0,0.0,172.0,Maultaschen,Bürger Maultaschen Vegan,,,
REWE Bio Stremellachs Natur 100g,"3,69 €","100g (1 kg = 36,90 €)",True,Angebote,36.9,0.5,,,2.9,23.2,"{'unit': 'calories', 'value': 214.0}",0.5,1.45,,,,,13.2,,,,,1.0,,214.0,Stremellachs Natur,REWE Bio,,,
Alpenhain Obazda 125g,"1,49 €","125g (1 kg = 11,92 €)",True,Angebote,11.92,3.0,1.5,,19.0,13.0,"{'unit': 'calories', 'value': 328.0}",3.0,680.0,,,,,29.0,,,,,1.0,,328.0,Obazda,Alpenhain Obazda,,,
Meggle Laugenbaguette Kräuterbutter 160g,"1,59 €","160g (1 kg = 9,94 €)",True,Angebote,9.94,35.0,3.6,0.0,9.6,6.3,"{'unit': 'calories', 'value': 308.0}",35.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,308.0,Laugenbaguette Kräuterbutter,Meggle,,,
Gutfried Hähnchenfleischwurst...,"2,99 €","350g (1 kg = 8,54 €)",True,Angebote,8.54,0.5,0.5,,6.0,13.0,"{'unit': 'calories', 'value': 234.0}",0.5,2200.0,,,,,20.0,,,,,1.0,,234.0,Hähnchenfleischwurst,Gutfried,,,
REWE Bio Streichgut ungesalzen 200g,"1,59 €","200g (1 kg = 7,95 €)",True,Angebote,7.95,0.5,0.5,,35.6,0.4,"{'unit': 'calories', 'value': 589.0}",0.5,20.0,,,,,65.0,,,,,1.0,,589.0,Streichgut ungesalzen,ja!,,,
WC Frisch Kraft-Aktiv Blau Blütenfrische 50g,"1,69 €","50g (1 kg = 33,80 €)",True,Angebote,33.8,3.0,,,,0.5,"{'unit': 'calories', 'value': 0.5}",3.0,1.0,0.2,,0.5,,0.2,,,,,1.0,,1.0,Blau Kraft Aktiv,WC Frisch,,,
REWE Bio Rostbratwurst 200g,"3,19 €","200g (1 kg = 15,95 €)",True,Angebote,15.95,1.0,0.5,0.0,12.0,15.0,"{'unit': 'calories', 'value': 282.0}",1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,282.0,Rostbratwurst,Bio Rewe,,,
Meggle Klassik Baguette Knoblauch-Butter 160g,"1,39 €","160g (1 kg = 8,69 €)",True,Angebote,8.69,38.0,,,,7.0,"{'unit': 'calories', 'value': 302.0}",38.0,,,,,,13.0,,,,,1.0,,302.0,Klassik Baguett Knoblauch,Meggle,,,
Hitschler Fruchtgummi-Schnüre 4 Farben 125g,"0,99 €","125g (1 kg = 7,92 €)",True,Angebote,7.92,78.0,,,,3.0,"{'unit': 'calories', 'value': 355.0}",78.0,,,,,,3.0,,,,,1.0,,355.0,Erdbeer Schnüre Fruchtgummi,Hitschler,,,
Züger Bio Mozzarella Herzen 130g,"1,69 €",130g (1 kg = 13 €),True,Angebote,13.0,1.0,1.0,0.0,12.3,18.9,"{'unit': 'calories', 'value': 246.0}",1.0,0.6,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,1.0,0.0,246.0,Mozzarella Bio,Züger,,,
Rama Streichfett Sooo Buttrig! ungesalzen 225g,"1,39 €","225g (1 kg = 6,18 €)",True,Angebote,6.18,0.5,,,45.0,0.5,"{'unit': 'calories', 'value': 713.0}",0.5,,,,,,79.0,,,,,1.0,,713.0,Sooo Buttrig,Rama,,,
"REWE Bio + vegan Streichcreme Paprika,...","1,19 €","180g (1 kg = 6,61 €)",True,Angebote,6.61,4.3,4.0,0.0,0.0,7.0,"{'unit': 'calories', 'value': 335.0}",4.3,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,335.0,vegane Streichcreme,,,,
REWE Bio Rote Bete gekocht 500g,"1,45 €","500g (1 kg = 2,90 €)",True,Angebote,2.9,4.6,4.6,,0.0,1.2,"{'unit': 'calories', 'value': 30.0}",4.6,,,,,,0.1,,,,,1.0,,30.0,"Rote Bete geschält, gekocht",Rewe Bio,,,
Popp Feinster Fleischsalat 200g,"1,29 €","200g (1 kg = 6,45 €)",True,Angebote,6.45,6.0,4.2,,6.1,4.8,"{'unit': 'calories', 'value': 304.0}",6.0,1.5,,,,,29.0,,,,,1.0,,304.0,popp,Feinster Fleischsalat,,,
REWE Feine Welt Trüffel Salami 80g,"3,19 €","80g (1 kg = 39,88 €)",True,Angebote,39.88,0.5,0.5,,10.4,26.0,"{'unit': 'calories', 'value': 372.0}",0.5,4.5,,,,,29.5,,,,,1.0,,372.0,Salami Trüffel,Rewe feine Welt,,,
REWE Bio Geflügelbratwurst 160g,"2,99 €","160g (1 kg = 18,69 €)",True,Angebote,18.69,1.0,1.0,,7.0,15.0,"{'unit': 'calories', 'value': 235.0}",1.0,,,,,,19.0,,,,,1.0,,235.0,Bio Geflügelbratwurst,Rewe,,,
